time,aao,fase
1993-03-01,-0.3776,neutral
1993-04-01,0.0872,neutral
1993-05-01,1.2599,positivo
1993-06-01,1.2179,positivo
1993-07-01,1.9571,positivo
1993-08-01,1.0829,positivo
1993-09-01,1.061,positivo
1993-10-01,0.7481,positivo
1993-11-01,0.3237,neutral
1993-12-01,1.0281,positivo
1994-01-01,0.7227,positivo
1994-02-01,1.157,positivo
1994-03-01,0.6933,positivo
1994-04-01,-0.0525,neutral
1994-05-01,-0.1527,neutral
1994-06-01,-1.6819,negativo
1994-07-01,-0.4922,neutral
1994-08-01,1.9099,positivo
1994-09-01,-0.947,negativo
1994-10-01,-0.5778,negativo
1994-11-01,-0.7926,negativo
1994-12-01,0.9327,positivo
1995-01-01,1.4485,positivo
1995-02-01,0.5329,positivo
1995-03-01,-0.1544,neutral
1995-04-01,0.6488,positivo
1995-05-01,1.3967,positivo
1995-06-01,-0.802,negativo
1995-07-01,-3.0097,negativo
1995-08-01,-0.6965,negativo
1995-09-01,1.1733,positivo
1995-10-01,-0.057,neutral
1995-11-01,0.1429,neutral
1995-12-01,1.4697,positivo
1996-01-01,0.3321,neutral
1996-02-01,-0.525,negativo
1996-03-01,0.5435,positivo
1996-04-01,0.115,neutral
1996-05-01,0.9832,positivo
1996-06-01,-0.252,neutral
1996-07-01,0.0209,neutral
1996-08-01,-1.5019,negativo
1996-09-01,-1.3144,negativo
1996-10-01,0.9657,positivo
1996-11-01,-1.6669,negativo
1996-12-01,-0.0231,neutral
1997-01-01,0.3689,neutral
1997-02-01,-0.2442,neutral
1997-03-01,0.701,positivo
1997-04-01,-0.4576,neutral
1997-05-01,1.0281,positivo
1997-06-01,-0.4576,neutral
1997-07-01,0.7797,positivo
1997-08-01,0.7684,positivo
1997-09-01,0.1222,neutral
1997-10-01,-0.5947,negativo
1997-11-01,-1.9046,negativo
1997-12-01,-0.8355,negativo
1998-01-01,0.4125,neutral
1998-02-01,0.3896,neutral
1998-03-01,0.7359,positivo
1998-04-01,1.9273,positivo
1998-05-01,-0.0381,neutral
1998-06-01,1.031,positivo
1998-07-01,1.45,positivo
1998-08-01,0.9041,positivo
1998-09-01,-0.1224,neutral
1998-10-01,0.3995,neutral
1998-11-01,0.8172,positivo
1998-12-01,1.4352,positivo
1999-01-01,0.9991,positivo
1999-02-01,0.4559,neutral
1999-03-01,0.1804,neutral
1999-04-01,0.9494,positivo
1999-05-01,1.639,positivo
1999-06-01,-1.3249,negativo
1999-07-01,0.3156,neutral
1999-08-01,0.0419,neutral
1999-09-01,-0.0121,neutral
1999-10-01,1.6535,positivo
1999-11-01,0.9006,positivo
1999-12-01,1.7838,positivo
2000-01-01,1.2734,positivo
2000-02-01,0.6197,positivo
2000-03-01,0.1331,neutral
2000-04-01,0.2327,neutral
2000-05-01,1.1271,positivo
2000-06-01,0.1172,neutral
2000-07-01,0.0586,neutral
2000-08-01,-0.6735,negativo
2000-09-01,-1.8529,negativo
2000-10-01,0.347,neutral
2000-11-01,-1.5371,negativo
2000-12-01,-1.2903,negativo
2001-01-01,-0.4709,neutral
2001-02-01,-0.2649,neutral
2001-03-01,-0.5548,negativo
2001-04-01,0.515,positivo
2001-05-01,-0.2622,neutral
2001-06-01,0.3861,neutral
2001-07-01,-0.9283,negativo
2001-08-01,0.9103,positivo
2001-09-01,1.1614,positivo
2001-10-01,1.2771,positivo
2001-11-01,0.9958,positivo
2001-12-01,1.4736,positivo
2002-01-01,0.7469,positivo
2002-02-01,1.3341,positivo
2002-03-01,-1.8235,negativo
2002-04-01,0.165,neutral
2002-05-01,-2.7985,negativo
2002-06-01,-1.112,negativo
