time,sst_celsius,region
2023-01-01,13.290955382906128,aysen
2023-02-01,13.438750649650824,aysen
2023-03-01,12.286145479525013,aysen
2023-04-01,11.057065355316661,aysen
2023-05-01,10.162482096215884,aysen
2023-06-01,9.267528026745323,aysen
2023-07-01,8.628995069468424,aysen
2023-08-01,8.491673802748904,aysen
2023-09-01,8.670954392263168,aysen
2023-10-01,9.577638449524112,aysen
2023-11-01,10.380197604982163,aysen
2023-12-01,11.831621660517401,aysen
2024-01-01,13.283437393176014,aysen
2024-02-01,13.54990471649022,aysen
2024-03-01,12.521975301275779,aysen
2024-04-01,11.150891061280497,aysen
2024-05-01,9.745185494519163,aysen
2024-06-01,9.286643400003767,aysen
2024-07-01,8.670928627368415,aysen
2024-08-01,8.371338024562455,aysen
2024-09-01,8.63611731811525,aysen
2024-10-01,9.544691407020611,aysen
2024-11-01,10.568960601615496,aysen
2024-12-01,12.209222968433725,aysen
