time,sst_celsius,region
2023-01-01,15.220345086473271,los_lagos
2023-02-01,15.001612608791131,los_lagos
2023-03-01,13.655041564802138,los_lagos
2023-04-01,12.390476525518428,los_lagos
2023-05-01,11.166659486426774,los_lagos
2023-06-01,10.478246653730185,los_lagos
2023-07-01,9.990075559044746,los_lagos
2023-08-01,9.874796818858814,los_lagos
2023-09-01,10.075192816585295,los_lagos
2023-10-01,11.213456838565222,los_lagos
2023-11-01,11.794022692696364,los_lagos
2023-12-01,13.861111866234152,los_lagos
2024-01-01,15.659048964177813,los_lagos
2024-02-01,15.629028914080152,los_lagos
2024-03-01,13.933339325331076,los_lagos
2024-04-01,12.392153448557872,los_lagos
2024-05-01,10.984196297783887,los_lagos
2024-06-01,10.66993553833449,los_lagos
2024-07-01,9.879500706264011,los_lagos
2024-08-01,9.947018488046847,los_lagos
2024-09-01,10.131853499079513,los_lagos
2024-10-01,11.367022591956582,los_lagos
2024-11-01,12.526566266066332,los_lagos
2024-12-01,14.306003502278472,los_lagos
