time,sst_celsius,region
2023-01-01,8.633329527209307,magallanes
2023-02-01,8.972109434937668,magallanes
2023-03-01,8.303750311127487,magallanes
2023-04-01,7.59347774903766,magallanes
2023-05-01,7.00210238279101,magallanes
2023-06-01,6.582201150253137,magallanes
2023-07-01,5.898982267987414,magallanes
2023-08-01,5.643965077582545,magallanes
2023-09-01,5.724623658753386,magallanes
2023-10-01,6.1067588747491,magallanes
2023-11-01,6.617614517975215,magallanes
2023-12-01,7.485161292689968,magallanes
2024-01-01,8.418294146813514,magallanes
2024-02-01,9.111257150812563,magallanes
2024-03-01,8.941098030179685,magallanes
2024-04-01,7.900575530375058,magallanes
2024-05-01,6.815076036423022,magallanes
2024-06-01,6.188492145730307,magallanes
2024-07-01,5.967146176394699,magallanes
2024-08-01,5.705630245501529,magallanes
2024-09-01,5.744068721675868,magallanes
2024-10-01,6.075262767037247,magallanes
2024-11-01,6.97444238712904,magallanes
2024-12-01,8.041431159804825,magallanes
