time,sst_celsius,clim,anomaly
1993-01-01,13.472759186742469,13.581399890919384,-0.10864070417691529
1993-02-01,13.553607879251798,13.688683867318703,-0.13507598806690524
1993-03-01,12.725283934632639,12.733722029682129,-0.008438095049490002
1993-04-01,11.41066919699148,11.499783639444061,-0.0891144424525816
1993-05-01,10.333215170895242,10.342631453326861,-0.009416282431619294
1993-06-01,9.094460359873894,9.099089407389474,-0.004629047515580353
1993-07-01,8.54063026472608,8.644928265467033,-0.10429800074095397
1993-08-01,8.376802311398672,8.414514752952048,-0.03771244155337605
1993-09-01,9.054887027425092,9.070517979456666,-0.015630952031573386
1993-10-01,10.372918395814258,10.20239612620023,0.17052226961402894
1993-11-01,11.64304696957521,11.524803162694354,0.11824380688085512
1993-12-01,12.312088244943551,12.360208673975503,-0.04812042903195213
1994-01-01,14.175623687161258,13.581399890919384,0.5942237962418737
1994-02-01,13.718507875565994,13.688683867318703,0.02982400824729048
1994-03-01,12.826436620543744,12.733722029682129,0.09271459086161471
1994-04-01,11.531851416505068,11.499783639444061,0.03206777706100716
1994-05-01,10.365004417496527,10.342631453326861,0.02237296416966572
1994-06-01,9.225940356935087,9.099089407389474,0.12685094954561293
1994-07-01,8.74370983007937,8.644928265467033,0.09878156461233623
1994-08-01,8.480066825219563,8.414514752952048,0.06555207226751492
1994-09-01,8.9047536974475,9.070517979456666,-0.1657642820091656
1994-10-01,10.135507648432629,10.20239612620023,-0.06688847776760021
1994-11-01,11.435980307536843,11.524803162694354,-0.08882285515751143
1994-12-01,12.15903448492371,12.360208673975503,-0.20117418905179285
1995-01-01,13.520866712548903,13.581399890919384,-0.060533178370480556
1995-02-01,13.976679298366843,13.688683867318703,0.28799543104813985
1995-03-01,12.877511888219326,12.733722029682129,0.14378985853719684
1995-04-01,11.5043225282315,11.499783639444061,0.0045388887874384665
1995-05-01,10.31352484875471,10.342631453326861,-0.029106604572151085
1995-06-01,9.035100361200694,9.099089407389474,-0.06398904618878021
1995-07-01,8.440372202450892,8.644928265467033,-0.20455606301614182
1995-08-01,8.3112883343684,8.414514752952048,-0.10322641858364712
1995-09-01,8.994620362105492,9.070517979456666,-0.07589761735117406
1995-10-01,10.102337756700917,10.20239612620023,-0.1000583694993118
1995-11-01,11.61343808134813,11.524803162694354,0.08863491865377604
1995-12-01,12.260974267591415,12.360208673975503,-0.0992344063840882
1996-01-01,13.59047961421874,13.581399890919384,0.009079723299356246
1996-02-01,13.504954514165227,13.688683867318703,-0.18372935315347583
1996-03-01,12.62758931316037,12.733722029682129,-0.10613271652175982
1996-04-01,11.492491417384832,11.499783639444061,-0.007292222059229303
1996-05-01,10.346892589944368,10.342631453326861,0.004261136617506267
1996-06-01,9.122842581461724,9.099089407389474,0.023753174072249195
1996-07-01,8.732664669035925,8.644928265467033,0.08773640356889167
1996-08-01,8.471563599603174,8.414514752952048,0.057048846651126084
1996-09-01,9.140704803284695,9.070517979456666,0.07018682382802943
1996-10-01,10.27342592491981,10.20239612620023,0.07102979871958048
1996-11-01,11.379304753248086,11.524803162694354,-0.1454984094462688
1996-12-01,12.195606527117015,12.360208673975503,-0.1646021468584884
1997-01-01,13.481726928477508,13.581399890919384,-0.09967296244187551
